-->-->-->-->-->-->-->-->-->--> start training ...
GBAF_new: Idx=112, lr=0.000989, snr1=2.978 ,snr2=100.000 ,BS=4192 ,loss=0.0396 ,BER=0.00243 ,num=163
GBAF_new: Idx=113, lr=0.000989, snr1=2.977 ,snr2=100.000 ,BS=4192 ,loss=0.038 ,BER=0.00207 ,num=139
GBAF_new: Idx=114, lr=0.000989, snr1=2.977 ,snr2=100.000 ,BS=4192 ,loss=0.037 ,BER=0.00177 ,num=119
GBAF_new: Idx=115, lr=0.000988, snr1=2.977 ,snr2=100.000 ,BS=4192 ,loss=0.036 ,BER=0.0018 ,num=121
GBAF_new: Idx=116, lr=0.000988, snr1=2.977 ,snr2=100.000 ,BS=4192 ,loss=0.0342 ,BER=0.00136 ,num=91
GBAF_new: Idx=117, lr=0.000988, snr1=2.977 ,snr2=100.000 ,BS=4192 ,loss=0.0342 ,BER=0.0018 ,num=121
GBAF_new: Idx=118, lr=0.000988, snr1=2.976 ,snr2=100.000 ,BS=4192 ,loss=0.0331 ,BER=0.00164 ,num=110
GBAF_new: Idx=119, lr=0.000988, snr1=2.976 ,snr2=100.000 ,BS=4192 ,loss=0.0321 ,BER=0.00151 ,num=101
GBAF_new: Idx=120, lr=0.000988, snr1=2.976 ,snr2=100.000 ,BS=4192 ,loss=0.0313 ,BER=0.00133 ,num=89
GBAF_new: Idx=121, lr=0.000988, snr1=2.976 ,snr2=100.000 ,BS=4192 ,loss=0.031 ,BER=0.0016 ,num=107
GBAF_new: Idx=122, lr=0.000988, snr1=2.976 ,snr2=100.000 ,BS=4192 ,loss=0.0306 ,BER=0.00157 ,num=105
GBAF_new: Idx=123, lr=0.000988, snr1=2.975 ,snr2=100.000 ,BS=4192 ,loss=0.0298 ,BER=0.00158 ,num=106
GBAF_new: Idx=124, lr=0.000988, snr1=2.975 ,snr2=100.000 ,BS=4192 ,loss=0.0292 ,BER=0.00163 ,num=109
GBAF_new: Idx=125, lr=0.000987, snr1=2.975 ,snr2=100.000 ,BS=4192 ,loss=0.0289 ,BER=0.00157 ,num=105
